position_ID,title,job_description
1,"Marketing Coordinator","Develop and execute marketing campaigns, manage social media platforms, and collaborate with designers and content creators."
2,"Financial Analyst","Create financial reports, analyze trends, and provide strategic advice to senior management based on insights from data."
3,"UX-UI Designer","Create intuitive, user-centered design solutions, conduct usability testing, and collaborate with developers on implementation."
4,"Project Manager","Coordinate teams across functions, manage project schedules, and help to keep everyone focused on business goals."
5,"Customer Support Agent","Resolve customer inquiries via phone, email, chat, maintain knowledge base articles, and track resolution metrics."
6,"Data Analyst","Analyze structured and unstructured datasets, create dashboards, and advise on data-driven decisions."
7,"Content Writer","Write articles that are easy to find on search engines, work with others on marketing projects, and keep track of publishing schedules."
8,"IT Support Specialist","Help staff with basic and advanced tech problems, keep computers and programs running smoothly, and make sure company IT rules are followed."
9,"Cybersecurity Analyst","Monitor security problems, check systems for weaknesses, and help the security team respond to threats."
10,"Sales Consultant","Find potential customers, explain products to them, make deals, and work to meet sales goals every few months."
11,"Talent Acquisition Specialist","Source candidates, manage the hiring pipeline, and ensure a high-quality candidate experience."
12,"Technical Writer","Develop user manuals, create release notes, and ensure regulatory compliance in documentation."
13,"Talent & People Coordinator","Help new employees get started, support staff with workplace issues, make sure company rules follow the law, and keep HR policies up to date."
14,"Office Manager","Handle office logistics, vendor relationships, and assist with event planning and employee support."
15,"Product Manager","Define product vision, manage product backlog, and coordinate between engineering and design."
16,"Web Developer","Build and maintain responsive websites, optimize performance, and collaborate on cross-team deployment."
17,"Business Analyst","Gather business requirements, map process improvements, and present findings to stakeholders."
18,"Email Marketing Specialist","Manage email campaigns, segment customer lists, and analyze engagement results."
19,"Supply Chain Analyst","Optimize logistics processes, manage vendor KPIs, and forecast procurement needs."
20,"Learning & Development Lead","Design and deliver training content, assess learning outcomes, and support continuous learning initiatives."
21,"Data Visualization Specialist","Design dashboards and visual reports to convey data insights clearly and concisely."
22,"CRM Administrator","Manage CRM systems, ensure data integrity, and support campaign execution."
23,"Backend Developer","Build scalable APIs, maintain backend services, and ensure application reliability."
24,"Technical Content Specialist","Create technical blog posts, product documentation, and developer resources."
25,"QA Automation Engineer","Write and maintain test scripts, improve regression coverage, and ensure release quality."
26,"Support Engineer","Troubleshoot technical issues, document fixes, and escalate bugs as needed."
27,"Product Designer","Create wireframes, prototypes, and collaborate with engineers and PMs."
28,"Executive Assistant","Manage calendars, coordinate meetings, and prepare materials for leadership."
29,"Meeting Facilitator","Organize and document project meetings, track action items, and ensure follow-up."
30,"Data Engineer","Develop ETL pipelines, manage data lakes, and ensure data consistency."
31,"UX Designer","Build predictive models and process large-scale datasets."
32,"Content Manager","Resolve customer issues and escalate tickets appropriately."
33,"HR Associate","Design user interfaces and enhance user interaction across platforms."
34,"Support Specialist","Build predictive models and process large-scale datasets."
35,"Support Specialist","Design user interfaces and enhance user interaction across platforms."
36,"SEO Analyst","Manage employee data and support onboarding and offboarding processes."
37,"Support Specialist","Manage employee data and support onboarding and offboarding processes."
38,"SEO Analyst","Analyze business needs and translate them into system requirements."
39,"Business Analyst","Manage employee data and support onboarding and offboarding processes."
40,"DevOps Engineer","Maintain infrastructure, CI-CD processes, and deployment automation."
41,"Data Scientist","Conduct SEO audits and optimize website ranking factors."
42,"Data Scientist","Write and manage content across digital properties."
43,"Business Analyst","Analyze business needs and translate them into system requirements."
44,"Frontend Developer","Coordinate product development cycles and align cross-functional teams."
45,"SEO Analyst","Develop client-facing features and ensure browser compatibility."
46,"UX Designer","Manage employee data and support onboarding and offboarding processes."
47,"Support Specialist","Analyze business needs and translate them into system requirements."
48,"DevOps Engineer","Design user interfaces and enhance user interaction across platforms."
49,"SEO Analyst","Write and manage content across digital properties."
50,"DevOps Engineer","Analyze business needs and translate them into system requirements."
51,"Business Analyst","Maintain infrastructure, CI-CD processes, and deployment automation."
52,"Product Manager","Build predictive models and process large-scale datasets."
53,"Product Manager","Conduct SEO audits and optimize website ranking factors."
54,"Product Manager","Resolve customer issues and escalate tickets appropriately."
55,"Support Specialist","Resolve customer issues and escalate tickets appropriately."
56,"UX Designer","Design user interfaces and enhance user interaction across platforms."
57,"Data Scientist","Manage employee data and support onboarding and offboarding processes."
58,"Support Specialist","Write and manage content across digital properties."
59,"HR Associate","Analyze business needs and translate them into system requirements."
60,"Data Scientist","Develop client-facing features and ensure browser compatibility."
61,"Support Specialist","Coordinate product development cycles and align cross-functional teams."
62,"Business Analyst","Develop client-facing features and ensure browser compatibility."
63,"Support Specialist","Conduct SEO audits and optimize website ranking factors."
64,"Product Manager","Manage employee data and support onboarding and offboarding processes."
65,"Content Manager","Coordinate product development cycles and align cross-functional teams."
66,"Business Analyst","Conduct SEO audits and optimize website ranking factors."
67,"Frontend Developer","Write and manage content across digital properties."
68,"DevOps Engineer","Write and manage content across digital properties."
69,"HR Associate","Resolve customer issues and escalate tickets appropriately."
70,"Business Analyst","Build predictive models and process large-scale datasets."
71,"Content Manager","Manage employee data and support onboarding and offboarding processes."
72,"Business Analyst","Resolve customer issues and escalate tickets appropriately."
73,"UX Designer","Coordinate product development cycles and align cross-functional teams."
74,"Product Manager","Develop client-facing features and ensure browser compatibility."
75,"HR Associate","Develop client-facing features and ensure browser compatibility."
76,"DevOps Engineer","Develop client-facing features and ensure browser compatibility."
77,"Data Scientist","Design user interfaces and enhance user interaction across platforms."
